"Tinggi Badan (cm)","Berat Badan (Kg)","","","","","",""
"","-3 SD","-2 SD","-1 SD","Median","+1 SD","+2 SD","+3 SD"
"65.0","5.6","6.1","6.6","7.2","7.9","8.7","9.7"
"65.5","5.7","6.2","6.7","7.4","8.1","8.9","9.8"
"66.0","5.8","6.3","6.8","7.5","8.2","9.0","10.0"
"66.5","5.8","6.4","6.9","7.6","8.3","9.1","10.1"
"67.0","5.9","6.4","7.0","7.7","8.4","9.3","10.2"
"67.5","6.0","6.5","7.1","7.8","8.5","9.4","10.4"
"68.0","6.1","6.6","7.2","7.9","8.7","9.5","10.5"
"68.5","6.2","6.7","7.3","8.0","8.8","9.7","10.7"
"69.0","6.3","6.8","7.4","8.1","8.9","9.8","10.8"
"69.5","6.","6.9","7.5","8.2","9.0","9.9","10.9"
"70.0","6.4","7.0","7.6","8.3","9.1","10.0","11.1"
"70.5","6.5","7.1","7.7","8.4","9.2","10.1","11.2"
"71.0","6.6","7.1","7.8","8.5","9.3","10.3","11.3"
"71.5","6.7","7.2","7.9","8.6","9.4","10.4","11.5"
"72.0","6.7","7.3","8.0","8.7","9.5","10.5","11.6"
"72.5","6.8","7.4","8.1","8.8","9.7","10.6","11.7"
"73.0","6.9","7.5","8.1","8.9","9.8","10.7","11.8"
"73.5","7.0","7.6","8.2","9.0","9.9","10.8","12.0"
"74.0","7.0","7.6","8.3","9.1","10.0","11.0","12.1"
"74.5","7.1","7.7","8.4","9.2","10.1","11.1","12.2"
"75.0","7.2","7.8","8.5","9.3","10.2","11.2","12.3"
"75.5","7.2","7.9","8.6","9.4","10.3","11.3","12.5"
"76.0","7.3","8.0","8.7","9.5","10.4","11.4","12.6"
"76.5","7.4","8.0","8.7","9.6","10.5","11.5","12.7"
"77.0","7.5","8.1","8.8","9.6","10.6","11.6","12.8"
"77.5","7.5","8.2","8.9","9.7","10.7","11.7","12.9"
"78.0","7.6","8.3","9.0","9.8","10.8","11.8","13.1"
"78.5","7.7","8.4","9.1","9.9","10.9","12.0","13.2"
"79.0","7.8","8.4","9.2","10.0","11.0","12.1","13.3"
"79.5","7.8","8.5","9.3","10.1","11.1","12.2","13.4"
"80.0","7.9","8.6","9.4","10.2","11.2","12.3","13.6"
"80.5","8.0","8.7","9.5","10.3","11.3","12.4","13.7"
"81.0","8.1","8.8","9.6","10.4","11.4","12.6","13.9"
"81.5","8.2","8.9","9.7","10.6","11.6","12.7","14.0"
"82.0","8.3","9.0","9.8","10.7","11.7","12.8","14.1"
"82.5","8.4","9.1","9.9","10.8","11.8","13.0","14.3"
"83.0","8.5","9.2","10.0","10.9","11.9","13.1","14.5"
"83.5","8.5","9.3","10.1","11.0","12.1","13.3","14.6"
"84.0","8.6","9.4","10.2","11.1","12.2","13.4","14.8"
"84.5","8.7","9.5","10.3","11.3","12.3","13.5","14.9"
"85.0","8.8","9.6","10.4","11.4","12.5","13.7","15.1"
"85.5","8.9","9.7","10.6","11.5","12.6","13.8","15.3"
"86.0","9.0","9.8","10.7","11.6","12.7","14.0","15.4"
"86.5","9.1","9.9","10.8","11.8","12.9","14.2","15.6"
"87.0","9.2","10.0","10.9","11.9","13.0","14.3","15.8"
"87.5","9.3","10.1","11.0","12.0","13.2","14.5","15.9"
"88.0","9.4","10.2","11.1","12.1","13.3","14.6","16.1"
"88.5","9.5","10.3","11.2","12.3","13.4","14.8","16.3"
"89.0","9.6","10.4","11.4","12.4","13.6","14.9","16.4"
"89.5","9.7","10.5","11.5","12.5","13.7","15.1","16.6"
"90.0","9.8","10.6","11.6","12.6","13.8","15.2","16.8"
"90.5","9.9","10.7","11.7","12.8","14.0","15.4","16.9"
"91.0","10.0","10.9","11.8","12.9","14.1","15.5","17.1"
"91.5","10.1","11.0","11.9","13.0","14.3","15.7","17.3"
"92.0","10.2","11.1","12.0","13.1","14.4","15.8","17.4"
"92.5","10.3","11.2","12.1","13.3","14.5","16.0","17.6"
"93.0","10.4","11.3","12.3","13.4","14.7","16.1","17.8"
"93.5","10.5","11.4","12.4","13.5","14.8","16.3","17.9"
"94.0","10.6","11.5","12.5","13.6","14.9","16.4","18.1"
"94.5","10.7","11.6","12.6","13.8","15.1","16.6","18.3"
"95.0","10.8","11.7","12.7","13.9","15.2","16.7","18.5"
"95.5","10.8","11.8","12.8","14.0","15.4","16.9","18.6"
"96.0","10.9","11.9","12.9","14.1","15.5","17.0","18.8"
"96.5","11.0","12.0","13.1","14.3","15.6","17.2","19.0"
"97.0","11.1","12.1","13.2","14.4","15.8","17.4","19.2"
"97.5","11.2","12.2","13.3","14.5","15.9","17.5","19.3"
"98.0","11.3","12.3","13.4","14.7","16.1","17.7","19.5"
"98.5","11.4","12.4","13.5","14.8","16.2","17.9","19.7"
"99.0","11.5","12.5","13.7","14.9","16.4","18.0","19.9"
"99.5","11.6","12.7","13.8","15.1","16.5","18.2","20.1"
"100.0","11.7","12.8","13.9","15.2","16.7","18.4","20.3"
"100.5","11.9","12.9","14.1","15.4","16.9","18.6","20.5"
"101.0","12.0","13.0","14.2","15.5","17.0","18.7","20.7"
"101.5","12.1","13.1","14.3","15.7","17.2","18.9","20.9"
"102.0","12.2","13.3","14.5","15.8","17.4","19.1","21.1"
"102.5","12.3","13.4","14.6","16.0","17.5","19.3","21.4"
"103.0","12.4","13.5","14.7","16.1","17.7","19.5","21.6"
"103.5","12.5","13.6","14.9","16.3","17.9","19.7","21.8"
"104.0","12.6","13.8","15.0","16.4","18.1","19.9","22.0"
"104.5","12.8","13.9","15.2","16.6","18.2","20.1","22.3"
"105.0","12.9","14.0","15.3","16.8","18.4","20.3","22.5"
"105.5","13.0","14.2","15.5","16.9","18.6","20.5","22.7"
"106.0","13.1","14.3","15.6","17.1","18.8","20.8","23.0"
"106.5","13.3","14.5","15.8","17.3","19.0","21.0","23.2"
"107.0","13.4","14.6","15.9","17.5","19.2","21.2","23.5"
"107.5","13.5","14.7","16.1","17.7","19.4","21.4","23.7"
"108.0","13.7","14.9","16.3","17.8","19.6","21.7","24.0"
"108.5","13.8","15.0","16.4","18.0","19.8","21.9","24.3"
"109.0","13.9","15.2","16.6","18.2","20.0","22.1","24.5"
"109.5","14.1","15.4","16.8","18.4","20.3","22.4","24.8"
"110.0","14.2","15.5","17.0","18.6","20.5","22.6","25.1"
"110.5","14.4","15.7","17.1","18.8","20.7","22.9","25.4"
"111.0","14.5","15.8","17.3","19.0","20.9","23.1","25.7"
"111.5","14.7","16.0","17.5","19.2","21.2","23.4","26.0"
"112.0","14.8","16.2","17.7","19.4","21.4","23.6","26.2"
"112.5","15.0","16.3","17.9","19.6","21.6","23.9","26.5"
"113.0","15.1","16.5","18.0","19.8","21.8","24.2","26.8"
"113.5","15.3","16.7","18.2","20.0","22.1","24.4","27.1"
"114.0","15.4","16.8","18.4","20.2","22.3","24.7","27.4"
"114.5","15.6","17.0","18.6","20.5","22.6","25.0","27.8"
"115.0","15.7","17.2","18.8","20.7","22.8","25.2","28.1"
"115.5","15.9","17.3","19.0","20.9","23.0","25.5","28.4"
"116.0","16.0","17.5","19.2","21.1","23.3","25.8","28.7"
"116.5","16.2","17.7","19.4","21.3","23.5","26.1","29.0"
"117.0","16.3","17.8","19.6","21.5","23.8","26.3","29.3"
"117.5","16.5","18.0","19.8","21.7","24.0","26.6","29.6"
"118.0","16.6","18.2","19.9","22.0","24.2","26.9","29.9"
"118.5","16.8","18.4","20.1","22.2","24.5","27.2","30.3"
"119.0","16.9","18.5","20.3","22.4","24.7","27.4","30.6"
"119.5","17.1","18.7","20.5","22.6","25.0","27.7","30.9"
"120.0","17.3","18.9","20.7","22.8","25.2","28.0","31.2"
